time,rating,text,name,category,latitude,longitude,safety,cleanliness,infrastructure,nature,attractions,heritage,costs,other,created_at,id,lead_time,updated_at
1562198849245,4.0,Good food!,Clove Lakes Park,Park||Tourist attraction,40.6186608,-74.11163979999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned
1577385334943,5.0,We received your New York Smart ticket in a very friendly and convenient way! New York Travel From At Home Trip Thank you!,AthomeTrip,Travel agency||Event ticket seller||Photographer||Tourist attraction||Tourist information center,40.755236,-73.9880113,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,positive
1560483843809,5.0,Loved the square ... the shopping .... especially the clock ticking every hour....,Herald Square,Park||Tourist attraction,40.7502515,-73.9877295,notmentioned,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,positive
1418503912936,5.0,amazing.,Strawberry Fields,Tourist attraction||Historical landmark||Scenic spot,40.7758392,-73.9747655,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1538050614592,4.0,A fun attraction in the middle of a sidewalk. Just to get your picture taken.,Love,Sculpture||Tourist attraction,40.7628748,-73.9780243,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1548978283868,5.0,Amazing views,One World Observatory,Tourist attraction,40.713006199999995,-74.013173,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive
1501244042956,5.0,"Gorgeous station, very clean and well lit.",Forest Hills Station,Train station,40.7197557,-73.84470569999999,notmentioned,positive,positive,notmentioned,notmentioned,notmentioned,notmentioned,positive
1580061111700,5.0,So pretty and family-oriented,Bryant Park,Park||Tourist attraction,40.7535965,-73.9832326,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1570202787565,5.0,Amazing views and tallest building in the NY city... had great time with family and friends it’s better view compared to Empire State Building... overall good experience.,One World Observatory,Tourist attraction,40.713006199999995,-74.013173,notmentioned,notmentioned,notmentioned,positive,notmentioned,positive,notmentioned,positive
1503589066564,5.0,Impressive building,Park Avenue Armory,Arts organization||Art center||Art museum||Historical landmark||Modern art museum||Movie theater||Museum||Non-profit organization||Performing arts theater||Tourist attraction,40.767295399999995,-73.9656313,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,positive
1555421960976,5.0,I had a great time at the game,Barclays Center,Arena||Sports complex,40.6826465,-73.97541559999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1560563871581,4.0,"Brew at the Zoo was fun. Lots of beer, some wine and ciders, and a decent selection of food trucks/stalls. The animals could be out for longer though",Bronx Zoo,Zoo||Tourist attraction,40.8505949,-73.8769982,notmentioned,notmentioned,notmentioned,negative,positive,notmentioned,notmentioned,positive
1515828036759,5.0,Great collection with a great view.,Whitney Museum of American Art,Modern art museum||Art museum||Museum||Tourist attraction,40.7395877,-74.0088629,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive
1553965731617,5.0,So relaxing and Inspiring,Baisley Pond Park,Park||Tourist attraction,40.6737751,-73.786025,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1560909559149,5.0,Went to Woodrow Dinner. Good food. Good service.,Woodrow Shopping Plaza,Shopping mall,40.5424999,-74.2071239,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive
1586346538251,4.0,Pitstop during NYC TransAlt 30th century ride,Astoria Park,Park||Tourist attraction,40.7785364,-73.92283359999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral
1502546258629,4.0,Open and many stores,MetroTech Commons,Park,40.6935465,-73.9857312,notmentioned,notmentioned,positive,notmentioned,positive,notmentioned,notmentioned,positive
1599584346943,1.0,USQ Holiday Market is not happening in Sept. so I cannot comment on it.,Union Square Holiday Market,Market||Event venue||Gift shop||Tourist attraction,40.735285399999995,-73.99077249999999,notmentioned,notmentioned,notmentioned,notmentioned,negative,notmentioned,notmentioned,neutral
1571356258629,5.0,A great place to share with young children,Central Park Zoo,Zoo||Tourist attraction,40.767778,-73.9718335,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive
1513618771455,5.0,Beautiful trees and animals. Great for sight seeing.,Devoe Park,Park||Tourist attraction,40.8631422,-73.9062362,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive
